date,own_price,own_booking_status,own_booked_adr,min_stay,demand,market_25pct,market_median,market_75pct,market_90pct,market_occupancy_pct
2026-07-09,389,Booked (Check-In),858,2,Unavailable,303,464,708,989,63.1
2026-07-10,534,Booked,858,2,Unavailable,378,517,732,998,73.7
2026-07-11,566,Booked,858,2,Unavailable,358,485,683,931,73.1
2026-07-12,441,open,,2,Normal Demand,288,400,579,801,51.3
2026-07-13,437,open,,2,Normal Demand,266,374,551,716,48.9
2026-07-14,451,open,,2,Normal Demand,268,382,552,780,46.8
2026-07-15,460,open,,2,Normal Demand,290,414,595,822,50.2
2026-07-16,613,open,,2,Normal Demand,350,505,696,997,60.7
2026-07-17,690,Booked (Check-In),858,2,Unavailable,384,529,741,1031,68.6
2026-07-18,713,Booked,858,2,Unavailable,347,488,674,911,69.8
2026-07-19,504,open,,2,Normal Demand,294,401,559,794,51.5
2026-07-20,406,open,,2,Low Demand,271,362,524,709,40.7
2026-07-21,506,open,,2,Normal Demand,269,372,535,736,41.8
2026-07-22,504,open,,2,Normal Demand,291,407,589,863,46.3
2026-07-23,660,Booked (Check-In),934.67,2,Unavailable,356,496,772,1068,66.6
2026-07-24,750,Booked,934.67,2,Unavailable,401,548,777,1091,75.3
2026-07-25,750,Booked,934.67,2,Unavailable,367,497,665,978,71.8
2026-07-26,535,open,,2,Normal Demand,288,408,559,804,47.3
2026-07-27,539,open,,2,Normal Demand,263,373,532,695,42.3
2026-07-28,541,open,,2,Normal Demand,274,380,530,719,39.1
2026-07-29,500,open,,2,Normal Demand,299,412,577,822,40.7
2026-07-30,640,open,,2,Normal Demand,358,490,683,975,48.7
2026-07-31,750,open,,2,Good Demand,399,533,710,972,60
2026-08-01,750,open,,2,Good Demand,367,487,651,950,59.1
2026-08-02,487,open,,2,Normal Demand,286,400,562,727,36.4
2026-08-03,443,open,,2,Normal Demand,270,380,526,683,32.2
2026-08-04,431,open,,2,Normal Demand,274,381,537,686,28.6
2026-08-05,477,open,,2,Normal Demand,287,403,571,726,28.9
2026-08-06,627,Booked (Check-In),845.33,2,Unavailable,340,465,654,921,43.5
2026-08-07,750,Booked,845.33,2,Unavailable,373,506,680,952,52.7
2026-08-08,750,Booked,845.33,2,Unavailable,339,475,619,860,55
2026-08-09,500,open,,2,Normal Demand,280,373,505,697,35.7
2026-08-10,435,open,,2,Normal Demand,256,355,496,659,26.8
2026-08-11,434,open,,2,Normal Demand,265,359,513,677,25.9
2026-08-12,452,open,,2,Normal Demand,282,378,522,736,25.6
2026-08-13,583,open,,2,Normal Demand,336,450,654,911,39.3
2026-08-14,740,Booked (Check-In),858,2,Unavailable,361,495,671,960,47.4
2026-08-15,689,Booked,858,2,Unavailable,327,441,582,839,44.9
2026-08-16,432,open,,2,Normal Demand,265,370,489,632,24.6
2026-08-17,389,open,,2,Normal Demand,252,345,471,608,18.7
2026-08-18,387,open,,2,Normal Demand,256,344,480,611,18.4
2026-08-19,395,open,,2,Normal Demand,272,373,511,665,18.1
2026-08-20,497,open,,2,Normal Demand,324,442,620,852,27.7
2026-08-21,678,open,,2,Good Demand,359,484,662,895,34.3
2026-08-22,669,open,,2,Good Demand,329,440,568,855,35.2
2026-08-23,420,open,,2,Normal Demand,260,364,492,654,17.9
2026-08-24,358,open,,2,Normal Demand,238,337,475,593,14.9
2026-08-25,353,open,,2,Normal Demand,239,343,484,597,13.9
2026-08-26,362,open,,2,Normal Demand,268,372,502,646,14.2
2026-08-27,481,open,,2,Normal Demand,314,450,598,849,26.7
2026-08-28,671,open,,2,Good Demand,368,489,658,923,36.7
2026-08-29,657,open,,2,Good Demand,341,450,594,855,35.1
2026-08-30,409,open,,2,Normal Demand,269,369,504,653,16.4
2026-08-31,350,open,,2,Normal Demand,251,362,476,609,10.2
2026-09-01,350,open,,2,Low Demand,250,360,488,615,8.9
2026-09-02,350,open,,2,Low Demand,278,379,526,746,11.1
2026-09-03,461,open,,2,Normal Demand,349,478,720,978,24.4
2026-09-04,750,Booked (Check-In),858,2,Unavailable,419,602,897,1111,47.1
2026-09-05,750,Booked,858,2,Unavailable,389,550,794,1057,47.3
2026-09-06,750,Booked,858,2,Unavailable,337,472,648,916,40.4
