period,market_adr,market_occupancy_pct,median_booked_los,median_booking_window_days
Jul 2024,528,68,3,59
Aug 2024,514,61,3,62
Sep 2024,471,53,3,57
Oct 2024,466,66,4,10
Nov 2024,442,62,4,17
Dec 2024,484,57,4,25
Jan 2025,373,48,4,11
Feb 2025,343,48,3,16
Mar 2025,369,54,3,21
Apr 2025,394,50,3,24
May 2025,420,52,3,28
Jun 2025,453,57,3,30
Jul 2025,469,63,3,32
Aug 2025,471,56,3,33
Sep 2025,428,48,3,34
Oct 2025,494,62,3,42
Nov 2025,514,55,3,42
Dec 2025,557,54,3,43
Jan 2026,442,37,3,26
Feb 2026,383,39,3,27
Mar 2026,444,49,3,34
Apr 2026,460,51,3,42
May 2026,471,51,3,49
Jun 2026,551,62,3,49
