month,mortgage_piti,mortgage_principal_est,power,internet,water,cleaning,pest,hoa,accounting,software,supplies,other,skyland_cost_total,airbnb_deposits_cash
2025-08,3687.96,561,203.80,129.99,80.05,1440.00,40.00,0.00,400.00,96.00,1470.19,50.00,7597.99,4125.34
2025-09,3687.96,561,221.95,129.99,0.00,1290.00,40.00,0.00,0.00,96.00,0.00,0.00,5465.90,3847.94
2025-10,3687.96,561,160.06,129.99,118.54,1620.00,40.00,0.00,450.00,96.00,0.00,685.07,6987.62,7734.67
2025-11,3687.96,561,169.23,129.99,0.00,2160.00,0.00,0.00,450.00,20.00,0.00,0.00,6617.18,4474.57
2025-12,3687.96,561,215.56,129.99,78.32,1286.72,40.00,0.00,225.00,96.00,0.00,0.00,5759.55,10646.11
2026-01,3725.68,561,322.10,129.99,0.00,480.00,40.00,0.00,225.00,58.00,0.00,0.00,4980.77,1630.21
2026-02,3725.68,561,366.57,140.00,109.93,1140.00,40.00,0.00,225.00,87.00,0.00,169.12,6003.30,4398.07
2026-03,3725.68,561,434.23,140.00,0.00,1275.88,40.00,459.02,0.00,87.00,0.00,338.24,6500.05,5139.84
2026-04,3725.68,561,239.90,140.00,156.54,2220.00,40.00,0.00,0.00,124.87,0.00,58.00,6704.99,7258.55
2026-05,3725.68,561,213.55,140.00,0.00,1230.00,40.00,275.00,0.00,186.19,0.00,0.00,5810.42,5207.73
2026-06,3725.68,561,179.60,140.00,84.13,0.00,40.00,154.50,450.00,166.19,0.00,50.00,4990.10,7981.02
2026-07,,,,,,,,,,,,,,
