month,gross_revenue,accommodation_revenue,cleaning_fees_collected,host_service_fees,host_fee_pct,refunds_adjustments,cancellation_income,nights_booked,days_in_month,owner_blocked_nights,nights_available,occupancy_pct,occupancy_pct_calendar_days,adr,revpar,revpar_calendar_days
2025-07,7978.0,6828.0,1150.0,218.3,2.74,0.0,0.0,12,31,19,12,100.0,38.7,569.0,569.0,220.26
2025-08,7557.0,6407.0,1150.0,218.35,2.89,0.0,0.0,10,31,21,10,100.0,32.3,640.7,640.7,206.68
2025-09,2392.0,1892.0,500.0,71.76,3.0,0.0,0.0,4,30,26,4,100.0,13.3,473.0,473.0,63.07
2025-10,11231.0,9036.0,2195.0,346.26,2.89,0.0,0.0,17,31,14,17,100.0,54.8,531.53,531.53,291.48
2025-11,7549.0,6452.0,1097.0,395.22,5.81,0.0,0.0,9,30,21,9,100.0,30.0,716.89,716.89,215.07
2025-12,10413.0,8904.0,1509.0,736.72,6.66,-335.27,0.0,14,31,17,14,100.0,45.2,636.0,636.0,287.23
2026-01,4460.0,3636.0,824.0,608.38,15.97,0.0,0.0,7,31,24,7,100.0,22.6,519.43,519.43,117.29
2026-02,4320.0,3548.0,772.0,312.68,7.24,-100.0,0.0,7,28,1,27,25.9,25.0,506.86,131.41,126.71
2026-03,6201.0,4965.0,1236.0,961.16,15.5,0.0,0.0,7,31,0,31,22.6,22.6,709.29,160.16,160.16
2026-04,8590.0,6942.0,1648.0,1331.45,15.5,0.0,0.0,11,30,0,30,36.7,36.7,631.09,231.4,231.4
2026-05,8063.0,6415.0,1648.0,1249.77,15.5,0.0,0.0,9,31,0,31,29.0,29.0,712.78,206.94,206.94
2026-06,7545.0,6294.0,1251.0,1169.48,15.5,0.0,0.0,8,30,0,30,26.7,26.7,786.75,209.8,209.8
