month,accrual_net_rev,cash_rev,cost_total,principal,net_cash,net_cash_economic,net_accrual
2025-07,7759.7,,,,,,
2025-08,7338.65,4125.34,7597.99,561.0,-3472.65,-2911.65,-259.34
2025-09,2320.24,3847.94,5465.9,561.0,-1617.96,-1056.96,-3145.66
2025-10,10884.74,7734.67,6987.62,561.0,747.05,1308.05,3897.12
2025-11,7153.78,4474.57,6617.18,561.0,-2142.61,-1581.61,536.6
2025-12,9341.01,10646.11,5759.55,561.0,4886.56,5447.56,3581.46
2026-01,3851.62,1630.21,4980.77,561.0,-3350.56,-2789.56,-1129.15
2026-02,3907.32,4398.07,6003.3,561.0,-1605.23,-1044.23,-2095.98
2026-03,5239.84,5139.84,6500.05,561.0,-1360.21,-799.21,-1260.21
2026-04,7258.55,7258.55,6704.99,561.0,553.56,1114.56,553.56
2026-05,6813.23,5207.73,5810.42,561.0,-602.69,-41.69,1002.81
2026-06,6375.52,7981.02,4990.1,561.0,2990.92,3551.92,1385.42
TOTAL (11mo),70484.5,62444.05,67417.87,6171.0,-4973.82,1197.18,3066.63
